"","departamento","IHH_fre","IHH_valor","puntaje_total","ID1"
"1","amazonas",628.534228769027,3463.70197347847,0.415548945785091,1
"2","antioquia",461.121050169427,1401.82606625586,0.192953515835619,2
"3","arauca",167.202306067158,420.133897021515,0.275055641010709,3
"4","atlantico",415.571971930302,1718.25660725389,0.291844334914948,4
"5","bolivar",459.576892608975,1285.42437799352,0.162840357213359,5
"6","boyaca",520.839001783161,1599.45681627394,0.269342069732928,6
"7","caldas",360.391537997541,690.077044247689,0.188291238306857,7
"8","caqueta",543.309897958339,1095.56924164365,0.326190135390892,8
"9","casanare",773.178183747318,1626.52529409629,0.380288158045058,9
"10","cauca",545.222640017126,2755.29234987543,0.321337119901534,10
"11","cesar",240.0646722391,1234.67524419652,0.241207080091696,11
"12","choco",569.98230379851,737.832919484664,0.0566664778282047,12
"13","cordoba",306.194055194949,1893.80866055534,0.216603743144429,7
"14","cundinamarca",203.236445610595,981.790304186511,0.297838112324744,15
"15","guaviare",381.510727566443,2401.2349509559,0.361289639344246,16
"16","huila",229.900921293685,1504.43237555857,0.230696554306382,17
"17","laguajira",162.619896780726,956.04707299732,0.195763001022624,18
"18","magdalena",305.288999742107,778.377044493606,0.201021810625076,19
"19","meta",343.953861683628,1062.37356357895,0.311857153844981,20
"20","narino",330.701246579256,1019.69929388118,0.257150493196656,21
"21","nortedesantander",579.859392637355,1401.57686754547,0.325612365676044,22
"22","putumayo",296.51242014765,1259.28247332351,0.310145518191077,23
"23","quindio",262.426353637959,2074.18641960711,0.281790077301724,24
"24","risaralda",245.575584240707,2042.32501974254,0.244706163323303,25
"25","santander",386.892294748105,1258.73037206757,0.264649687809898,26
"26","sucre",320.835904423726,1488.77360696157,0.202859484808452,27
"27","tolima",262.694295493683,1040.4459151628,0.211487260987122,28
"28","valledelcauca",357.291761696709,1796.34438948781,0.26547807436457,29
"29","vaupes",495.454075683127,1088.15565066232,0.320393814885426,30
"30","vichada",373.03864334627,696.443675694034,0.0561301625172198,31
